country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","28-09-2025 17:00:00",28.3153,76.9143,PM10,21,127,72
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","28-09-2025 17:00:00",28.3153,76.9143,NO2,2,18,8
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","28-09-2025 17:00:00",28.3153,76.9143,NH3,1,3,2
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","28-09-2025 17:00:00",30.943887,76.801991,PM2.5,42,88,65
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","28-09-2025 17:00:00",12.938539,77.590100,NH3,1,1,1
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","28-09-2025 17:00:00",12.938539,77.590100,CO,6,18,11
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","28-09-2025 17:00:00",13.0246342,77.5080115,NH3,4,4,4
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","28-09-2025 17:00:00",13.0246342,77.5080115,SO2,5,11,7
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","28-09-2025 17:00:00",13.0246342,77.5080115,OZONE,23,25,24
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","28-09-2025 17:00:00",12.917348,77.622813,PM2.5,13,27,20
